Sr_No,Code,Beneficiary_Bank,Total_Txns,CB_Ratio_Pct,CB_Received,Representment_Raised,CB_Accepted
457,KNS,The Kukarwada Nagarik Sahakari Bank Ltd,29578,0.0000,0,0,0
458,SMB,SHREE MAHAVIR SAHAKARI BANK LTD,29518,0.0000,0,0,0
459,STB,The Saurashtra Co-Operative Bank Ltd,29238,0.0000,0,0,0
460,BUG,Bhavani Urban Cooperative Bank Ltd Georai,28589,0.0000,0,0,0
461,KSB,Koyana Sahakari Bank Ltd Karad,28220,0.0000,0,0,0
462,MVY,Malviya Urban Co-operative Bank Ltd,28209,0.0000,0,0,0
463,ACK,Annasaheb Chougule Urban Co-op Bank Ltd,28167,0.0000,0,0,0
464,KLM,Kolhapur Mahila Sahakari Bank Ltd,27917,0.0000,0,0,0
465,ABH,Abhinandan Urban Coop Bank Amravati,27514,0.0000,0,0,0
466,CHN,Chartered Sahakari Bank Niyamitha,27445,0.0040,1,1,0
467,PUB,Priyadarshani Urban Co-op Bank Ltd,27261,0.0000,0,0,0
468,ABL,ALAVI CO OPERATIVE BANK LTD,27236,0.0000,0,0,0
469,BHU,THE BHUJ COMMERCIAL CO OP BANK LTD,27212,0.0000,0,0,0
470,NCC,Indusind Bank Credit Card,27015,0.0000,0,0,0
471,VVM,The Veraval Mercantile Co-operative Bank Ltd,26442,0.0000,0,0,0
472,SHI,The Shillong Cooperative Urban Bank Ltd,26349,0.0040,1,1,0
473,MSS,The Merchants Souharda Sahakara Bank Ni,26238,0.0000,0,0,0
474,SYS,Shri Yashwant Sahakari Bank Maryadit Kuditre,26191,0.0000,0,0,0
475,CSC,The Chandigarh State Co-op Bank Ltd,26022,0.0380,10,10,0
476,SVS,Sardar Vallabhbhai Sahakari Bank Ltd,25835,0.0000,0,0,0
477,MFU,MAHATMA FULE URBAN COOP BANK LTD AMRAVATI,25510,0.0000,0,0,0
478,UNO,THE UNION CO OPERATIVE BANK LTD,25281,0.0000,0,0,0
479,BBS,Bellad Bagewadi Urban Souharada Sahakari Bank NYT,25038,0.0000,0,0,0
480,NBC,THE NAWANAGAR CO OPERATIVE BANK LTD,24866,0.0000,0,0,0
481,BFS,Bank of Baroda Credit cards,24855,0.0400,10,3,7
482,SCL,The Shahada Peoples Coop Bank LTD,24852,0.0000,0,0,0
483,NVC,NAVANAGARA URBAN CO-OPERATIVE BANK LTD,24776,0.0000,0,0,0
484,HPI,HDFC BANK LIMITED PPI,24527,0.0000,0,0,0
485,RNI,Rani Channamma mahila Sahakari Bank Niyamit,24029,0.0000,0,0,0
486,BAO,The Baroda City Co operative Bank Ltd,23912,0.0080,2,0,2
487,TSS,The SSK Co-Op Bank Ltd,23854,0.0000,0,0,0
488,SKC,Shrikrishna Cooperative Bank Ltd Umrer,23499,0.0000,0,0,0
489,WSM,The Washim Urban Co-operative Bank Ltd,23445,0.0040,1,0,1
490,BUC,The Bicholim Urban Cooperative Bank LTD,23181,0.0130,3,0,3
491,MUP,Mahesh Urban Co-Operative Bank Ltd Parbhani,23152,0.0040,1,1,0
492,SDU,Sri Sudha Co-operative Bank Ltd,23100,0.0000,0,0,0
493,RJT,The Rajkot Commercial Co-operative Bank,22566,0.0000,0,0,0
494,QCB,The Quilon Co-operative Urban Bank Ltd,22271,0.0000,0,0,0
495,SON,SONEBHADRA NAGAR SAHKARI BANK LIMITED,22270,0.0000,0,0,0
496,ODP,Omprakash Deora Peoples Co operative Bank Ltd,21857,0.0000,0,0,0
497,BML,The Bhuj Mercentile Coop Bank Ltd,21451,0.0000,0,0,0
498,SJS,SHRI JANATA SAHAKARI BANK LTD HALOL,21390,0.0000,0,0,0
499,KRB,KRB,20945,0.0000,0,0,0
500,GPP,The Gandevi Peoples Co operative Bank Ltd,20914,0.0000,0,0,0
501,RSB,RAMRAJYA SAHAKARI BANK LTD,20683,0.0000,0,0,0
502,BWB,BHILWARA URBAN COOPERATIVE BANK LTD,20624,0.0000,0,0,0
503,GGB,The Gandhi Gunj Co-Operative Bank Ltd,20594,0.0050,1,0,1
